LineId,Date,Time,Host,Component,PID,Content,EventId,EventTemplate,ParameterList
1,2020-01-15,06:35:19,nagios,CRON,2953,pam_unix(cron:session): session closed for user root,ba07081a,pam_unix(cron:session): session closed for user <*>,['root']
2,2020-01-15,06:35:56,nagios,CRON,2954,pam_unix(cron:session): session closed for user root,ba07081a,pam_unix(cron:session): session closed for user <*>,['root']
3,2020-01-15,06:36:13,nagios,CRON,2952,pam_unix(cron:session): session closed for user root,ba07081a,pam_unix(cron:session): session closed for user <*>,['root']
4,2020-01-15,06:39:01,nagios,CRON,3310,pam_unix(cron:session): session opened for user root by (uid=0),4eecf6fb,pam_unix(cron:session): session opened for user <*> by (uid=0),['root']
5,2020-01-15,06:39:01,nagios,CRON,3310,pam_unix(cron:session): session closed for user root,ba07081a,pam_unix(cron:session): session closed for user <*>,['root']
6,2020-01-15,06:40:01,nagios,CRON,3373,pam_unix(cron:session): session opened for user root by (uid=0),4eecf6fb,pam_unix(cron:session): session opened for user <*> by (uid=0),['root']
7,2020-01-15,06:40:01,nagios,CRON,3371,pam_unix(cron:session): session opened for user root by (uid=0),4eecf6fb,pam_unix(cron:session): session opened for user <*> by (uid=0),['root']
8,2020-01-15,06:40:01,nagios,CRON,3372,pam_unix(cron:session): session opened for user root by (uid=0),4eecf6fb,pam_unix(cron:session): session opened for user <*> by (uid=0),['root']
9,2020-01-15,06:40:15,nagios,CRON,3372,pam_unix(cron:session): session closed for user root,ba07081a,pam_unix(cron:session): session closed for user <*>,['root']
10,2020-01-23,00:01:41,nagios,CRON,16355,pam_unix(cron:session): session closed for user root,ba07081a,pam_unix(cron:session): session closed for user <*>,['root']
11,2020-01-23,00:02:01,nagios,CRON,16711,pam_unix(cron:session): session opened for user logcheck by (uid=0),4eecf6fb,pam_unix(cron:session): session opened for user <*> by (uid=0),['logcheck']
12,2020-01-23,00:02:01,nagios,CRON,16711,pam_unix(cron:session): session closed for user logcheck,ba07081a,pam_unix(cron:session): session closed for user <*>,['logcheck']
13,2020-01-23,00:05:01,nagios,CRON,16713,pam_unix(cron:session): session opened for user root by (uid=0),4eecf6fb,pam_unix(cron:session): session opened for user <*> by (uid=0),['root']
14,2020-01-23,00:05:01,nagios,CRON,16714,pam_unix(cron:session): session opened for user root by (uid=0),4eecf6fb,pam_unix(cron:session): session opened for user <*> by (uid=0),['root']
15,2020-03-27,06:25:01,nagios,CRON,31829,pam_unix(cron:session): session opened for user root by (uid=0),4eecf6fb,pam_unix(cron:session): session opened for user <*> by (uid=0),['root']
16,2020-03-27,06:25:04,nagios,su,32069,Successful su for nobody by root,e03a8e7d,Successful su for nobody by root,[]
17,2020-03-27,06:25:04,nagios,su,32069,+ ??? root:nobody,bd19aa4f,+ ??? root:nobody,[]
18,2020-03-27,06:25:04,nagios,su,32069,pam_unix(su:session): session opened for user nobody by (uid=0),d60e390d,pam_unix(su:session): session opened for user nobody by (uid=0),[]
19,2020-03-27,06:25:04,nagios,su,32069,pam_unix(su:session): session closed for user nobody,13567231,pam_unix(su:session): session closed for user nobody,[]
20,2020-03-27,06:25:04,nagios,su,32071,Successful su for nobody by root,e03a8e7d,Successful su for nobody by root,[]
21,2020-03-27,06:25:04,nagios,su,32071,+ ??? root:nobody,bd19aa4f,+ ??? root:nobody,[]
22,2020-03-27,06:25:04,nagios,su,32071,pam_unix(su:session): session opened for user nobody by (uid=0),d60e390d,pam_unix(su:session): session opened for user nobody by (uid=0),[]
23,2020-03-27,06:25:04,nagios,su,32071,pam_unix(su:session): session closed for user nobody,13567231,pam_unix(su:session): session closed for user nobody,[]
24,2020-03-27,06:25:04,nagios,su,32073,Successful su for nobody by root,e03a8e7d,Successful su for nobody by root,[]
25,2020-03-27,06:25:04,nagios,su,32073,+ ??? root:nobody,bd19aa4f,+ ??? root:nobody,[]
26,2020-03-27,06:25:04,nagios,su,32073,pam_unix(su:session): session opened for user nobody by (uid=0),d60e390d,pam_unix(su:session): session opened for user nobody by (uid=0),[]
27,2020-03-27,06:25:06,nagios,su,32073,pam_unix(su:session): session closed for user nobody,13567231,pam_unix(su:session): session closed for user nobody,[]
28,2020-03-27,06:25:08,nagios,CRON,31829,pam_unix(cron:session): session closed for user root,ba07081a,pam_unix(cron:session): session closed for user <*>,['root']
29,2020-07-10,05:14:49,nagios,sshd,27073,Invalid user apache from 211.65.196.105,9302fad4,Invalid user <*> from <*>,"['apache', '211.65.196.105']"
30,2020-07-10,05:14:49,nagios,sshd,27073,input_userauth_request: invalid user apache [preauth],6b674ff1,input_userauth_request: invalid user <*> [preauth],['apache']
31,2020-07-10,05:14:49,nagios,sshd,27073,pam_unix(sshd:auth): check pass; user unknown,0849a7d0,pam_unix(sshd:auth): check pass; user unknown,[]
32,2020-07-10,05:14:49,nagios,sshd,27073,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=211.65.196.105,e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['211.65.196.105']
33,2020-07-10,05:14:50,nagios,sshd,27073,Failed password for invalid user apache from 211.65.196.105 port 49514 ssh2,21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,"['apache', '211.65.196.105', '49514']"
34,2020-07-10,05:14:50,nagios,sshd,27073,Received disconnect from 211.65.196.105: 11: Bye Bye [preauth],c5704dd9,Received disconnect from <*>: 11: Bye Bye [preauth],['211.65.196.105']
35,2020-07-10,05:14:50,nagios,sshd,27075,Invalid user cloud from 211.65.196.105,9302fad4,Invalid user <*> from <*>,"['cloud', '211.65.196.105']"
36,2020-07-10,05:14:50,nagios,sshd,27075,input_userauth_request: invalid user cloud [preauth],6b674ff1,input_userauth_request: invalid user <*> [preauth],['cloud']
37,2020-07-10,05:14:50,nagios,sshd,27075,pam_unix(sshd:auth): check pass; user unknown,0849a7d0,pam_unix(sshd:auth): check pass; user unknown,[]
38,2020-07-10,05:14:50,nagios,sshd,27075,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=211.65.196.105,e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['211.65.196.105']
39,2020-07-10,05:14:53,nagios,sshd,27075,Failed password for invalid user cloud from 211.65.196.105 port 50054 ssh2,21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,"['cloud', '211.65.196.105', '50054']"
40,2020-07-10,05:14:53,nagios,sshd,27075,Received disconnect from 211.65.196.105: 11: Bye Bye [preauth],c5704dd9,Received disconnect from <*>: 11: Bye Bye [preauth],['211.65.196.105']
41,2020-07-10,05:14:53,nagios,sshd,27077,Invalid user share from 211.65.196.105,9302fad4,Invalid user <*> from <*>,"['share', '211.65.196.105']"
42,2020-07-10,05:14:53,nagios,sshd,27077,input_userauth_request: invalid user share [preauth],6b674ff1,input_userauth_request: invalid user <*> [preauth],['share']
43,2020-07-10,05:14:53,nagios,sshd,27077,pam_unix(sshd:auth): check pass; user unknown,0849a7d0,pam_unix(sshd:auth): check pass; user unknown,[]
44,2020-07-10,05:14:53,nagios,sshd,27077,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=211.65.196.105,e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['211.65.196.105']
45,2020-07-10,05:14:55,nagios,sshd,27077,Failed password for invalid user share from 211.65.196.105 port 51089 ssh2,21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,"['share', '211.65.196.105', '51089']"
46,2020-07-10,05:14:55,nagios,sshd,27077,Received disconnect from 211.65.196.105: 11: Bye Bye [preauth],c5704dd9,Received disconnect from <*>: 11: Bye Bye [preauth],['211.65.196.105']
47,2020-07-10,05:14:55,nagios,sshd,27079,Invalid user rainbow from 211.65.196.105,9302fad4,Invalid user <*> from <*>,"['rainbow', '211.65.196.105']"
48,2020-07-10,05:14:55,nagios,sshd,27079,input_userauth_request: invalid user rainbow [preauth],6b674ff1,input_userauth_request: invalid user <*> [preauth],['rainbow']
49,2020-07-10,05:14:55,nagios,sshd,27079,pam_unix(sshd:auth): check pass; user unknown,0849a7d0,pam_unix(sshd:auth): check pass; user unknown,[]
50,2020-07-10,05:14:55,nagios,sshd,27079,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=211.65.196.105,e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['211.65.196.105']
51,2020-07-10,05:14:57,nagios,sshd,27079,Failed password for invalid user rainbow from 211.65.196.105 port 52108 ssh2,21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,"['rainbow', '211.65.196.105', '52108']"
52,2020-07-10,05:14:57,nagios,sshd,27079,Received disconnect from 211.65.196.105: 11: Bye Bye [preauth],c5704dd9,Received disconnect from <*>: 11: Bye Bye [preauth],['211.65.196.105']
53,2020-07-10,05:14:57,nagios,sshd,27081,Invalid user stats from 211.65.196.105,9302fad4,Invalid user <*> from <*>,"['stats', '211.65.196.105']"
54,2020-07-10,05:14:57,nagios,sshd,27081,input_userauth_request: invalid user stats [preauth],6b674ff1,input_userauth_request: invalid user <*> [preauth],['stats']
55,2020-07-10,05:14:57,nagios,sshd,27081,pam_unix(sshd:auth): check pass; user unknown,0849a7d0,pam_unix(sshd:auth): check pass; user unknown,[]
56,2020-07-10,05:14:57,nagios,sshd,27081,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=211.65.196.105,e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['211.65.196.105']
57,2020-07-10,05:14:59,nagios,sshd,27081,Failed password for invalid user stats from 211.65.196.105 port 52864 ssh2,21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,"['stats', '211.65.196.105', '52864']"
58,2020-07-10,05:14:59,nagios,sshd,27081,Received disconnect from 211.65.196.105: 11: Bye Bye [preauth],c5704dd9,Received disconnect from <*>: 11: Bye Bye [preauth],['211.65.196.105']
59,2020-07-10,05:14:59,nagios,sshd,27083,Invalid user wp from 211.65.196.105,9302fad4,Invalid user <*> from <*>,"['wp', '211.65.196.105']"
60,2020-07-10,05:14:59,nagios,sshd,27083,input_userauth_request: invalid user wp [preauth],6b674ff1,input_userauth_request: invalid user <*> [preauth],['wp']
61,2020-07-10,05:14:59,nagios,sshd,27083,pam_unix(sshd:auth): check pass; user unknown,0849a7d0,pam_unix(sshd:auth): check pass; user unknown,[]
