LineId,Date,Time,Host,Component,PID,Content,EventId,EventTemplate,ParameterList
1,2021-03-14,06:25:02,hydra0,CRON,19793,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
2,2021-03-14,06:35:01,hydra0,CRON,20227,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
3,2021-03-14,06:35:01,hydra0,CRON,20227,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
4,2021-03-14,06:39:01,hydra0,CRON,20321,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
5,2021-03-14,06:39:01,hydra0,CRON,20321,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
6,2021-03-14,06:39:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
7,2021-03-14,06:39:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
8,2021-03-14,06:45:01,hydra0,CRON,20508,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
9,2021-03-14,06:45:01,hydra0,CRON,20508,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
10,2021-03-14,06:47:01,hydra0,CRON,20558,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
11,2021-03-14,06:47:02,hydra0,CRON,20558,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
12,2021-03-14,06:55:01,hydra0,CRON,20745,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
13,2021-03-14,06:55:01,hydra0,CRON,20745,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
14,2021-03-14,07:05:01,hydra0,CRON,20976,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
15,2021-03-14,07:05:01,hydra0,CRON,20976,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
16,2021-03-14,07:09:01,hydra0,CRON,21068,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
17,2021-03-14,07:09:01,hydra0,CRON,21068,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
18,2021-03-14,07:09:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
19,2021-03-14,07:09:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
20,2021-03-14,07:15:01,hydra0,CRON,21256,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
21,2021-03-14,07:15:01,hydra0,CRON,21256,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
22,2021-03-14,07:17:01,hydra0,CRON,21304,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
23,2021-03-14,07:17:01,hydra0,CRON,21304,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
24,2021-03-14,07:25:01,hydra0,CRON,21495,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
25,2021-03-14,07:25:01,hydra0,CRON,21495,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
26,2021-03-14,07:35:01,hydra0,CRON,21783,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
27,2021-03-14,07:35:01,hydra0,CRON,21783,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
28,2021-03-14,07:39:01,hydra0,CRON,21925,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
29,2021-03-14,07:39:01,hydra0,CRON,21925,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
