LineId,Date,Time,Host,Component,PID,Content,EventId,EventTemplate,ParameterList
1,2021-03-08,06:25:01,hydra0,CRON,31869,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
2,2021-03-08,06:35:01,hydra0,CRON,32247,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
3,2021-03-08,06:35:01,hydra0,CRON,32247,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
4,2021-03-08,06:39:01,hydra0,CRON,32337,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
5,2021-03-08,06:39:01,hydra0,CRON,32337,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
6,2021-03-08,06:39:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
7,2021-03-08,06:39:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
8,2021-03-08,06:45:01,hydra0,CRON,32533,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
9,2021-03-08,06:45:01,hydra0,CRON,32533,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
10,2021-03-08,06:55:01,hydra0,CRON,32754,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
11,2021-03-08,06:55:01,hydra0,CRON,32754,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
12,2021-03-08,07:05:01,hydra0,CRON,32975,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
13,2021-03-08,07:05:01,hydra0,CRON,32975,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
14,2021-03-08,07:09:01,hydra0,CRON,33066,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
15,2021-03-08,07:09:01,hydra0,CRON,33066,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
16,2021-03-08,07:09:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
17,2021-03-08,07:09:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
18,2021-03-08,07:15:01,hydra0,CRON,33255,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
19,2021-03-08,07:15:01,hydra0,CRON,33255,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
